sku_id,subfamily,family,customer,forecast
SKU1053,cucumbers,vegetables,kroger,48
SKU1054,peppers,vegetables,publix,14
SKU1055,baguettes,bakery,costco,37
SKU1056,croissants,bakery,walmart,21
SKU1057,donuts,bakery,kroger,43
SKU1058,lobster,seafood,publix,18
SKU1059,clams,seafood,costco,35
SKU1060,oysters,seafood,walmart,29
SKU1061,smoothies,beverages,kroger,47
SKU1062,lemonade,beverages,publix,10
SKU1063,sour cream,dairy,costco,36
SKU1064,ice cream,dairy,walmart,23
SKU1065,cottage cheese,dairy,kroger,44
SKU1066,cherries,fruits,publix,16
SKU1067,kiwi,fruits,costco,38
SKU1068,plums,fruits,walmart,27
SKU1069,bison,meat,kroger,50
SKU1070,ham,meat,publix,12
SKU1071,ground beef,meat,costco,32
SKU1072,asparagus,vegetables,walmart,26
SKU1073,cauliflower,vegetables,kroger,49
SKU1074,cabbage,vegetables,publix,13
SKU1075,pita,bakery,costco,34
SKU1076,bagels,bakery,walmart,28
SKU1077,pretzels,bakery,kroger,45
SKU1078,scallops,seafood,publix,19
SKU1079,anchovies,seafood,costco,41
SKU1080,sardines,seafood,walmart,15
SKU1081,hot chocolate,beverages,kroger,30
SKU1082,cider,beverages,publix,22
SKU1083,whipped cream,dairy,costco,46
SKU1084,ricotta,dairy,walmart,17
SKU1085,feta,dairy,kroger,40
SKU1086,mangoes,fruits,publix,25
SKU1087,pineapple,fruits,costco,48
SKU1088,watermelon,fruits,walmart,14
SKU1089,venison,meat,kroger,33
SKU1090,ribs,meat,publix,27
SKU1091,jerky,meat,costco,42
SKU1092,mushrooms,vegetables,walmart,16
SKU1093,kale,vegetables,kroger,39
SKU1094,zucchini,vegetables,publix,21
SKU1095,tortillas,bakery,costco,47
SKU1096,sourdough,bakery,walmart,10
SKU1097,mussels,seafood,kroger,31
SKU1098,sushi,seafood,publix,24
SKU1099,kombucha,beverages,costco,43
SKU1100,sports drinks,beverages,walmart,18
SKU1101,cheese,dairy,costco,31
SKU1102,milk,dairy,walmart,22
SKU1103,yogurt,dairy,kroger,47
SKU1104,apples,fruits,costco,16
SKU1105,oranges,fruits,walmart,39
SKU1106,bananas,fruits,publix,25
SKU1107,chicken,meat,costco,44
SKU1108,beef,meat,walmart,18
SKU1109,pork,meat,kroger,36
SKU1110,carrots,vegetables,publix,27
SKU1111,potatoes,vegetables,costco,49
SKU1112,onions,vegetables,walmart,13
SKU1113,bread,bakery,kroger,32
SKU1114,pastries,bakery,publix,24
SKU1115,cakes,bakery,costco,41
SKU1116,tuna,seafood,walmart,15
SKU1117,salmon,seafood,kroger,38
SKU1118,shrimp,seafood,publix,29
SKU1119,coffee,beverages,costco,45
SKU1120,tea,beverages,walmart,17
SKU1121,juice,beverages,kroger,33
SKU1122,butter,dairy,publix,26
SKU1123,cream,dairy,costco,50
SKU1124,cheese,dairy,walmart,14
SKU1125,strawberries,fruits,kroger,37
SKU1126,grapes,fruits,publix,23
SKU1127,pears,fruits,costco,42
SKU1128,turkey,meat,walmart,19
SKU1129,lamb,meat,kroger,35
SKU1130,sausage,meat,publix,28
SKU1131,broccoli,vegetables,costco,46
SKU1132,spinach,vegetables,walmart,12
SKU1133,lettuce,vegetables,kroger,40
SKU1134,cookies,bakery,publix,21
SKU1135,muffins,bakery,costco,48
SKU1136,rolls,bakery,walmart,11
SKU1137,cod,seafood,kroger,34
SKU1138,tilapia,seafood,publix,20
SKU1139,crab,seafood,costco,43
SKU1140,soda,beverages,walmart,16
SKU1141,water,beverages,kroger,39
SKU1142,energy drinks,beverages,publix,25
SKU1143,yogurt,dairy,costco,47
SKU1144,kefir,dairy,walmart,18
SKU1145,cheese,dairy,kroger,36
SKU1146,blueberries,fruits,publix,27
SKU1147,raspberries,fruits,costco,49
SKU1148,peaches,fruits,walmart,13
SKU1149,veal,meat,kroger,32
SKU1150,duck,meat,publix,24
SKU1151,bacon,meat,costco,41
SKU1152,tomatoes,vegetables,walmart,15
SKU1153,cucumbers,vegetables,kroger,38
SKU1154,peppers,vegetables,publix,29
SKU1155,baguettes,bakery,costco,45
SKU1156,croissants,bakery,walmart,17
SKU1157,donuts,bakery,kroger,33
SKU1158,lobster,seafood,publix,26
SKU1159,clams,seafood,costco,50
SKU1160,oysters,seafood,walmart,14
SKU1161,smoothies,beverages,kroger,37
SKU1162,lemonade,beverages,publix,23
SKU1163,sour cream,dairy,costco,42
SKU1164,ice cream,dairy,walmart,19
SKU1165,cottage cheese,dairy,kroger,35
SKU1166,cherries,fruits,publix,28
SKU1167,kiwi,fruits,costco,46
SKU1168,plums,fruits,walmart,12
SKU1169,bison,meat,kroger,40
SKU1170,ham,meat,publix,21
SKU1171,ground beef,meat,costco,48
SKU1172,asparagus,vegetables,walmart,11
SKU1173,cauliflower,vegetables,kroger,34
SKU1174,cabbage,vegetables,publix,20
SKU1175,pita,bakery,costco,43
SKU1176,bagels,bakery,walmart,16
SKU1177,pretzels,bakery,kroger,39
SKU1178,scallops,seafood,publix,25
SKU1179,anchovies,seafood,costco,47
SKU1180,sardines,seafood,walmart,18
SKU1181,hot chocolate,beverages,kroger,36
SKU1182,cider,beverages,publix,27
SKU1183,whipped cream,dairy,costco,49
SKU1184,ricotta,dairy,walmart,13
SKU1185,feta,dairy,kroger,32
SKU1186,mangoes,fruits,publix,24
SKU1187,pineapple,fruits,costco,41
SKU1188,watermelon,fruits,walmart,15
SKU1189,venison,meat,kroger,38
SKU1190,ribs,meat,publix,29
SKU1191,jerky,meat,costco,45
SKU1192,mushrooms,vegetables,walmart,17
SKU1193,kale,vegetables,kroger,33
SKU1194,zucchini,vegetables,publix,26
SKU1195,tortillas,bakery,costco,50
SKU1196,sourdough,bakery,walmart,14
SKU1197,mussels,seafood,kroger,37
SKU1198,sushi,seafood,publix,23
SKU1199,kombucha,beverages,costco,42
SKU1200,sports drinks,beverages,walmart,19
SKU1201,cheese,dairy,costco,27
SKU1202,milk,dairy,walmart,43
SKU1203,yogurt,dairy,kroger,19
SKU1204,apples,fruits,costco,35
SKU1205,oranges,fruits,walmart,22
SKU1206,bananas,fruits,publix,48
SKU1207,chicken,meat,costco,14
SKU1208,beef,meat,walmart,37
SKU1209,pork,meat,kroger,29
SKU1210,carrots,vegetables,publix,46
SKU1211,potatoes,vegetables,costco,11
SKU1212,onions,vegetables,walmart,33
SKU1213,bread,bakery,kroger,25
SKU1214,pastries,bakery,publix,41
SKU1215,cakes,bakery,costco,18
SKU1216,tuna,seafood,walmart,39
SKU1217,salmon,seafood,kroger,24
SKU1218,shrimp,seafood,publix,50
SKU1219,coffee,beverages,costco,16
SKU1220,tea,beverages,walmart,32
SKU1221,juice,beverages,kroger,26
SKU1222,butter,dairy,publix,45
SKU1223,cream,dairy,costco,10
SKU1224,cheese,dairy,walmart,38
SKU1225,strawberries,fruits,kroger,21
SKU1226,grapes,fruits,publix,44
SKU1227,pears,fruits,costco,17
SKU1228,turkey,meat,walmart,40
SKU1229,lamb,meat,kroger,23
SKU1230,sausage,meat,publix,49
SKU1231,broccoli,vegetables,costco,15
SKU1232,spinach,vegetables,walmart,31
SKU1233,lettuce,vegetables,kroger,28
SKU1234,cookies,bakery,publix,42
SKU1235,muffins,bakery,costco,19
SKU1236,rolls,bakery,walmart,36
SKU1237,cod,seafood,kroger,22
SKU1238,tilapia,seafood,publix,47
SKU1239,crab,seafood,costco,13
SKU1240,soda,beverages,walmart,34
SKU1241,water,beverages,kroger,20
SKU1242,energy drinks,beverages,publix,43
SKU1243,yogurt,dairy,costco,18
SKU1244,kefir,dairy,walmart,39
SKU1245,cheese,dairy,kroger,25
SKU1246,blueberries,fruits,publix,50
SKU1247,raspberries,fruits,costco,12
SKU1248,peaches,fruits,walmart,32
SKU1249,veal,meat,kroger,27
SKU1250,duck,meat,publix,46
SKU1251,bacon,meat,costco,14
SKU1252,tomatoes,vegetables,walmart,37
SKU1253,cucumbers,vegetables,kroger,21
SKU1254,peppers,vegetables,publix,45
SKU1255,baguettes,bakery,costco,16
SKU1256,croissants,bakery,walmart,33
SKU1257,donuts,bakery,kroger,28
SKU1258,lobster,seafood,publix,49
SKU1259,clams,seafood,costco,10
SKU1260,oysters,seafood,walmart,38
SKU1261,smoothies,beverages,kroger,23
SKU1262,lemonade,beverages,publix,47
SKU1263,sour cream,dairy,costco,15
SKU1264,ice cream,dairy,walmart,30
SKU1265,cottage cheese,dairy,kroger,26
SKU1266,cherries,fruits,publix,44
SKU1267,kiwi,fruits,costco,11
SKU1268,plums,fruits,walmart,35
SKU1269,bison,meat,kroger,29
SKU1270,ham,meat,publix,50
SKU1271,ground beef,meat,costco,17
SKU1272,asparagus,vegetables,walmart,40
SKU1273,cauliflower,vegetables,kroger,24
SKU1274,cabbage,vegetables,publix,48
SKU1275,pita,bakery,costco,12
SKU1276,bagels,bakery,walmart,36
SKU1277,pretzels,bakery,kroger,22
SKU1278,scallops,seafood,publix,46
SKU1279,anchovies,seafood,costco,13
SKU1280,sardines,seafood,walmart,39
SKU1281,hot chocolate,beverages,kroger,25
SKU1282,cider,beverages,publix,41
SKU1283,whipped cream,dairy,costco,18
SKU1284,ricotta,dairy,walmart,34
SKU1285,feta,dairy,kroger,27
SKU1286,mangoes,fruits,publix,42
SKU1287,pineapple,fruits,costco,16
SKU1288,watermelon,fruits,walmart,31
SKU1289,venison,meat,kroger,20
SKU1290,ribs,meat,publix,45
SKU1291,jerky,meat,costco,19
SKU1292,mushrooms,vegetables,walmart,37
SKU1293,kale,vegetables,kroger,23
SKU1294,zucchini,vegetables,publix,49
SKU1295,tortillas,bakery,costco,14
SKU1296,sourdough,bakery,walmart,33
SKU1297,mussels,seafood,kroger,26
SKU1298,sushi,seafood,publix,41
SKU1299,kombucha,beverages,costco,17
SKU1300,sports drinks,beverages,walmart,38
